"","cik","FirmName"
"1","1000180","SANDISK CORP"
"2","1009626","BROCADE COMMUNICATIONS SYSTEMS INC"
"3","1011006","YAHOO INC"
"4","1024732","IGATE CORP"
"5","1045810","NVIDIA CORP"
"6","1054374","BROADCOM CORP"
"7","1058290","COGNIZANT TECHNOLOGY SOLUTIONS CORP"
"8","106040","WESTERN DIGITAL CORP"
"9","1065088","EBAY INC"
"10","1080099","INFORMATICA CORP"
"11","1086222","AKAMAI TECHNOLOGIES INC"
"12","108772","XEROX CORP"
"13","1108524","SALESFORCE COM INC"
"14","1123360","GLOBAL PAYMENTS INC"
"15","1137789","SEAGATE TECHNOLOGY"
"16","1141391","MASTERCARD INC"
"17","1262976","VISTAPRINT LTD"
"18","1288776","Google Inc."
"19","1341439","ORACLE CORP"
"20","23082","COMPUTER SCIENCES CORP"
"21","50863","INTEL CORP"
"22","51143","INTERNATIONAL BUSINESS MACHINES CORP"
"23","68505","MOTOROLA INC"
"24","746838","UNISYS CORP"
"25","789019","MICROSOFT CORP"
"26","790070","EMC CORP"
"27","796343","ADOBE SYSTEMS INC"
"28","858877","CISCO SYSTEMS INC"
"29","877890","CITRIX SYSTEMS INC"
"30","320193","APPLE COMPUTER INC"
